Year,Rainfall (mm),Avg_Temperature (°C),Soil_Type,Fertilizer_Used (kg/acre),Pesticide_Used (lit/acre),Yield (quintal/acre)
2010,420,30,Red,25,0.5,8.2
2010,460,29,Sandy,28,0.6,8.7
2010,410,31,Loamy,24,0.4,7.9
2010,500,28,Black,30,0.7,9.5
2011,430,30,Red,26,0.5,8.4
2011,400,32,Sandy,23,0.5,7.8
2011,420,31,Loamy,27,0.6,8.1
2011,490,29,Black,29,0.8,9.2
2012,440,30,Red,28,0.6,8.5
2012,420,31,Sandy,26,0.5,8.0
2012,430,30,Loamy,25,0.5,8.2
2012,510,28,Black,31,0.9,9.7
2013,450,29,Red,27,0.6,8.6
2013,480,28,Sandy,29,0.7,9.0
2013,440,30,Loamy,26,0.5,8.4
2013,520,27,Black,32,1.0,9.8
2014,430,31,Red,25,0.5,8.3
2014,460,29,Sandy,28,0.6,8.7
2014,420,30,Loamy,24,0.5,8.1
2014,530,28,Black,33,1.0,9.9
2015,440,30,Red,26,0.5,8.4
2015,470,29,Sandy,28,0.6,8.8
2015,430,31,Loamy,25,0.5,8.2
2015,540,28,Black,34,1.1,10.0
2016,450,29,Red,27,0.6,8.7
2016,490,28,Sandy,29,0.7,9.2
2016,440,30,Loamy,26,0.5,8.5
2016,550,27,Black,35,1.1,10.2
2017,460,29,Red,28,0.6,8.8
2017,500,28,Sandy,30,0.7,9.3
2017,450,30,Loamy,27,0.6,8.6
2017,560,27,Black,36,1.2,10.4
2018,470,29,Red,29,0.7,9.0
2018,510,28,Sandy,31,0.8,9.5
2018,460,30,Loamy,28,0.6,8.7
2018,570,27,Black,37,1.2,10.5
2019,480,29,Red,30,0.7,9.1
2019,520,28,Sandy,32,0.8,9.6
2019,470,30,Loamy,29,0.6,8.9
2019,580,27,Black,38,1.3,10.7
2020,490,29,Red,31,0.7,9.3
2020,530,28,Sandy,33,0.8,9.7
2020,480,30,Loamy,30,0.6,9.0
2020,590,27,Black,39,1.3,10.8
2021,500,29,Red,32,0.8,9.4
2021,540,28,Sandy,34,0.9,9.9
2021,490,30,Loamy,31,0.6,9.1
2021,600,27,Black,40,1.4,11.0
2022,510,29,Red,33,0.8,9.6
2022,550,28,Sandy,35,0.9,10.1
2022,500,30,Loamy,32,0.7,9.2
2022,610,27,Black,41,1.4,11.1
2023,520,29,Red,34,0.9,9.8
2023,560,28,Sandy,36,1.0,10.2
2023,510,30,Loamy,33,0.7,9.3
2023,620,27,Black,42,1.5,11.3
2024,530,29,Red,35,0.9,9.9
2024,570,28,Sandy,37,1.0,10.4
2024,520,30,Loamy,34,0.7,9.5
2024,630,27,Black,43,1.5,11.4
2025,540,29,Red,36,1.0,10.0
2025,580,28,Sandy,38,1.1,10.5
2025,530,30,Loamy,35,0.8,9.6
2025,640,27,Black,44,1.6,11.5
2026,550,29,Red,37,1.0,10.2
2026,590,28,Sandy,39,1.1,10.6
2026,540,30,Loamy,36,0.8,9.7
2026,650,27,Black,45,1.6,11.6
2027,560,29,Red,38,1.1,10.3
2027,600,28,Sandy,40,1.2,10.8
2027,550,30,Loamy,37,0.9,9.8
2027,660,27,Black,46,1.7,11.8
2028,570,29,Red,39,1.1,10.5
2028,610,28,Sandy,41,1.2,10.9
2028,560,30,Loamy,38,0.9,9.9
2028,670,27,Black,47,1.7,11.9
2029,580,29,Red,40,1.2,10.6
2029,620,28,Sandy,42,1.3,11.0
2029,570,30,Loamy,39,1.0,10.1
2029,680,27,Black,48,1.8,12.0
2030,590,29,Red,41,1.2,10.7
2030,630,28,Sandy,43,1.3,11.2
2030,580,30,Loamy,40,1.0,10.2
2030,690,27,Black,49,1.8,12.2
2031,600,29,Red,42,1.3,10.8
2031,640,28,Sandy,44,1.4,11.3
2031,590,30,Loamy,41,1.1,10.3
2031,700,27,Black,50,1.9,12.4
2032,610,29,Red,43,1.3,10.9
2032,650,28,Sandy,45,1.4,11.4
2032,600,30,Loamy,42,1.1,10.4
2032,710,27,Black,51,1.9,12.5
2033,620,29,Red,44,1.4,11.0
2033,660,28,Sandy,46,1.5,11.5
2033,610,30,Loamy,43,1.2,10.5
2033,720,27,Black,52,2.0,12.6
2034,630,29,Red,45,1.4,11.1
2034,670,28,Sandy,47,1.5,11.6
2034,620,30,Loamy,44,1.2,10.6
2034,730,27,Black,53,2.0,12.7
