Year,Rainfall (mm),Avg_Temperature (°C),Soil_Type,Fertilizer_Used (kg/acre),Pesticide_Used (lit/acre),Yield (quintal/acre)
2010,950,27,Black,80,2.5,22.1
2010,1020,26,Loamy,85,2.7,23.3
2010,940,28,Red,78,2.4,21.9
2010,980,27,Sandy,88,2.6,23.0
2011,870,28,Black,75,2.3,20.9
2011,990,27,Loamy,90,2.9,24.0
2011,920,29,Red,77,2.4,21.5
2011,1000,26,Sandy,92,2.8,24.1
2012,940,26,Loamy,82,2.6,22.5
2012,880,29,Black,84,2.5,21.8
2012,930,28,Red,79,2.4,22.0
2012,1005,27,Sandy,91,2.9,24.3
2013,910,28,Red,78,2.4,21.2
2013,1010,26,Loamy,87,2.8,23.6
2013,890,29,Black,80,2.5,21.4
2013,1020,27,Sandy,93,2.9,24.6
2014,960,27,Sandy,83,2.5,22.0
2014,920,28,Black,86,2.6,21.9
2014,950,26,Red,81,2.4,22.2
2014,1030,27,Loamy,95,3.0,25.0
2015,890,29,Red,80,2.3,21.0
2015,1040,27,Loamy,89,3.0,24.5
2015,920,28,Black,84,2.6,22.1
2015,1050,26,Sandy,97,3.1,25.2
2016,930,28,Black,85,2.7,22.3
2016,970,26,Sandy,91,2.8,23.8
2016,940,27,Loamy,88,2.7,23.0
2016,1060,26,Red,98,3.2,25.5
2017,950,27,Red,82,2.5,22.1
2017,1015,26,Loamy,90,3.1,24.7
2017,960,28,Black,86,2.8,22.7
2017,1070,26,Sandy,99,3.2,25.8
2018,880,28,Black,83,2.4,21.6
2018,940,27,Sandy,88,2.9,23.2
2018,900,29,Red,81,2.6,21.9
2018,1080,26,Loamy,100,3.3,26.0
2019,920,28,Red,79,2.5,21.5
2019,1030,26,Loamy,92,3.2,25.0
2019,910,27,Black,82,2.6,21.8
2019,1090,26,Sandy,101,3.4,26.2
2020,950,27,Black,86,2.6,22.4
2020,990,26,Sandy,90,2.9,23.6
2020,940,28,Loamy,85,2.7,22.3
2020,1100,26,Red,102,3.5,26.5
2021,960,27,Red,88,2.7,22.6
2021,1010,26,Loamy,92,3.1,24.9
2021,950,28,Black,87,2.8,22.8
2021,1110,26,Sandy,103,3.5,26.7
2022,920,28,Black,84,2.5,21.9
2022,1030,26,Loamy,95,3.2,25.2
2022,940,27,Red,88,2.7,22.4
2022,1120,26,Sandy,104,3.6,26.9
2023,950,27,Black,87,2.6,22.3
2023,1015,26,Loamy,92,3.1,24.8
2023,960,28,Red,89,2.8,22.7
2023,1130,26,Sandy,105,3.7,27.1
2024,970,27,Red,90,2.9,22.9
2024,1035,26,Loamy,94,3.2,25.1
2024,980,28,Black,91,2.9,23.0
2024,1140,26,Sandy,106,3.8,27.3
2025,990,27,Black,93,3.0,23.2
2025,1050,26,Sandy,96,3.3,25.4
2025,1000,28,Loamy,92,3.0,23.4
2025,1150,26,Red,107,3.9,27.5
2026,1010,27,Red,94,3.1,23.5
2026,1070,26,Loamy,97,3.3,25.5
2026,1020,28,Black,93,3.1,23.6
2026,1160,26,Sandy,108,4.0,27.7
2027,1030,27,Black,95,3.2,23.8
2027,1090,26,Sandy,98,3.4,25.7
2027,1040,28,Loamy,94,3.2,23.9
2027,1170,26,Red,109,4.1,27.9
2028,1050,27,Red,96,3.3,24.0
2028,1110,26,Loamy,99,3.4,25.8
2028,1060,28,Black,95,3.2,24.1
2028,1180,26,Sandy,110,4.2,28.0
2029,1070,27,Black,97,3.4,24.3
2029,1130,26,Sandy,100,3.5,26.0
2029,1080,28,Loamy,96,3.3,24.2
2029,1190,26,Red,111,4.3,28.2
2030,1090,27,Red,98,3.5,24.4
2030,1150,26,Loamy,101,3.5,26.2
2030,1100,28,Black,97,3.4,24.5
2030,1200,26,Sandy,112,4.4,28.4
2031,1110,27,Black,99,3.5,24.6
2031,1170,26,Sandy,102,3.6,26.3
2031,1120,28,Loamy,98,3.5,24.7
2031,1210,26,Red,113,4.5,28.6
2032,1130,27,Red,100,3.6,24.8
2032,1190,26,Loamy,103,3.6,26.5
2032,1140,28,Black,99,3.5,24.9
2032,1220,26,Sandy,114,4.6,28.7
2033,1150,27,Black,101,3.6,25.0
2033,1210,26,Sandy,104,3.7,26.6
2033,1160,28,Loamy,100,3.6,25.1
2033,1230,26,Red,115,4.7,28.9
2034,1170,27,Red,102,3.7,25.2
2034,1230,26,Loamy,105,3.7,26.7
2034,1180,28,Black,101,3.6,25.3
2034,1240,26,Sandy,116,4.8,29.0
